categoria;assunto;enunciado;a;b;c;d;e;correta
Arrais Amador;Geral;É comum se ter incêndios a bordo decorrente de material elétrico mal especificado como:;cabos elétricos antichama;disjuntores bem dimensionados;disjuntores com dupla finalidade;disjuntores antichama;disjuntores que provocam grandes centelhas;disjuntores que provocam grandes centelhas
Arrais Amador;Geral;A condição na qual o corpo humano perde calor mais rapidamente do que pode ser produzido chama-se:;hemorragia;choque;hiperglicemia;insolação;hipotermia;hipotermia
Arrais Amador;Geral;"Sobreviventes de naufrágios durante a Segunda Guerra Mundial apontam o óleo flutuante como origem das maiores dificuldades para o salvamento. Para evitar todos os inconvenientes causados por ele como: elevado risco de sufocação pela irritação das vias respiratórias; e até mesmo de cegueira pela violenta ardência nos olhos, deveremos:";mergulhar a sota vento;boiar e deixar a correnteza nos levar;nadar por baixo da água até sair fora do óleo;nadar na direção do vento;mergulhar sobre a mancha de óleo;nadar por baixo da água até sair fora do óleo
Arrais Amador;Geral;Nunca devemos:;retirar pesos altos da embarcação;colocar mais peso na parte de baixo que na parte de cima da embarcação;afundar a marca do limite mínimo de flutuação;dividir os pesos entre as laterais da embarcação;colocar pesos pequenos, no convés principal;afundar a marca do limite mínimo de flutuação
Arrais Amador;Geral;O método mais antigo de se apagar incêndios, sendo seu agente universal a água, é chamado de:;retirada do combustível;alagamento;congelamento;abafamento;resfriamento;resfriamento
Arrais Amador;Geral;Extintores utilizados em incêndios classe “D” são identificados por meio:;um quadrado vermelho;triangulo amarelo;uma estrela amarela;um círculo azul;um triangulo verde;uma estrela amarela
Arrais Amador;Geral;A temperatura mínima na qual um combustível desprende gases suficientes para serem inflamados por uma fonte externa de calor, mas não em quantidade suficiente para manter a combustão chama-se:;ponto de fulgor;ponto de ebulição;ponto de orvalho;temperatura de ignição;ponto de detonação;ponto de fulgor
Arrais Amador;Geral;A balsa salva-vidas rígida serve para ser utilizada:;para lazer em proximidades de praias;para abandonar a embarcação em caso de emergência;no caso de emergência abordo;para apoio à manutenção do casco de embarcação;no caso de incêndio a bordo;para abandonar a embarcação em caso de emergência
Arrais Amador;Geral;A não existência de extintores a bordo de uma lancha ou a existência de extintores vencidos acarretará:;em nenhuma medida administrativa;multa para o comandante do barco e interrupção da singradura;repreensão para o comandante da embarcação;suspensão da carteira de habilitação do comandante;apreensão da embarcação;multa para o comandante do barco e interrupção da singradura
Arrais Amador;Geral;De acordo com Regulamento Internacional para Evitar Abalroamento no Mar (RIPEAM), as luzes de bordos, verde a boreste e encarnada a bombordo, podem ser vistas num ângulo de?;122,5º a partir da popa;102,5º a partir da popa;112,5º a partir da proa;135,5º a partir da popa;132,5º a partir da proa;112,5º a partir da proa
Arrais Amador;Geral;Ao constatar qualquer irregularidade nos sinais náuticos ou auxílios à navegação, qual deve ser a atitude do navegante? deverá comunicar imediatamente o fato a (o):;Comparar com os últimos Avisos aos Navegantes;Informar o fato à prefeitura da cidade mais próxima;Tentar reparar ou reposicionar o sinal;Não agir, pois não tem competência sobre o assunto, que é da Capitania dos Portos;Informar o fato ao Agente da Autoridade Marítima local;Informar o fato ao Agente da Autoridade Marítima local
Arrais Amador;Geral;Assinale qual das alternativas abaixo está correta:;a espuma não pode ser usada para combater fogo na gasolina pois é muito corrosiva;não podemos usar água na para combater fogo na gasolina pois a temperatura de ignição da gasolina é inferior à temperatura da água;a espuma combate o fogo na gasolina por resfriamento pois é muito gelada;a água do mar dissolve a gasolina e se mistura a ela rapidamente, apagando o incêndio;podemos usar água para combater o fogo na gasolina pois a água baixa a temperatura de ignição;não podemos usar água na para combater fogo na gasolina pois a temperatura de ignição da gasolina é inferior à temperatura da água
Arrais Amador;Geral;Caso a embarcação seja flagrada sem a dotação completa de extintores de incêndios, além da interrupção da singradura ou impedimento de saída, quais serão as sanções que poderão ser aplicadas?;apreensão da embarcação;não há sanções administrativas, só comerciais;multa ou suspensão do Certificado de Habilitação de Amador;apreensão da embarcação e advertência;apreensão da embarcação e Certificado de Habilitação de Amador;multa ou suspensão do Certificado de Habilitação de Amador
Arrais Amador;Geral;De acordo com Regulamento Internacional para Evitar Abalroamento no Mar (RIPEAM), as marcas em forma de balão (esfera), cones, etc utilizadas pelos barcos para sinalizar durante o dia diversas condições são da cor:;encarnada;preta;amarela;verde;branca;preta
Arrais Amador;Geral;Dentre as alternativas abaixo, o único que precisar estar permanentemente com o colete salva-vidas vestido é o:;condutor da moto aquática;proeiro de qualquer embarcação de grande porte;comandante da lancha;cozinheiro da embarcação;passageiro de uma embarcação de médio porte;condutor da moto aquática
Arrais Amador;Geral;É facultativo marcar (afixar ou pintar) o nome do barco no costado para apenas:;as embarcações para fins comerciais;as embarcações miúdas;as embarcações estrangeiras em águas nacionais;os barcos de órgãos oficiais do governo;os barcos de fiscalização da Autoridade Marítima;as embarcações miúdas
Arrais Amador;Geral;Em um barco com dois motores (dois eixos e dois hélice), qual será a tendência da proa se um dos hélices estiver numa rotação inferior ao outro?;A proa irá ficar instável, variando;A proa tenderá a seguir uma linha reta;A proa tenderá a ir para o mesmo bordo do hélice que está com maior rotação;Não haverá tendências na direção da proa;A proa tenderá a ir para o mesmo bordo do hélice que está com menor rotação;A proa tenderá a ir para o mesmo bordo do hélice que está com menor rotação
Arrais Amador;Geral;Os símbolos internacionais dos incêndios classe “A” e “D” são respectivamente:;um quadrado vermelho e um círculo azul;um quadrado vermelho e uma estrela verde;um triângulo verde e uma estrela amarela;uma estrela verde e um triângulo amarelo;um triângulo amarelo e uma estrela verde;um triângulo verde e uma estrela amarela
Arrais Amador;Geral;Qual das atividades abaixo não pode ser praticada por um navegante amador?;Reboque de kite-surf;Pesca profissional;Pesca amadora;Apoio a regatas a vela;Reboque de esqui aquático;Pesca profissional
Arrais Amador;Geral;Qual o agente extintor mais efetivo em incêndio classe “B”, e que também pode ser usado em um incêndio classe “A”:;Gás carbônico;Pó químico;Espuma química;Gás halon;Água;Espuma química
Arrais Amador;Geral;Qual o mais aconselhável e mais rápido procedimento para se analisar e descobrir a profundidade de um local de fundeio?;Consultando a carta 12.000;Consultando o GPS;Consultando o Aviso aos Navegantes;Consultando o odômetro;Consultando a carta náutica daquele local;Consultando a carta náutica daquele local
Arrais Amador;Geral;São dois cotes, um dado contra o outro, de modo que os dois chicotes saiam por entre eles, em sentidos contrários. Usado (a) para fixar o chicote em mastro, malaguetas ou cunho. De que nó ou volta estamos falando?;Balso do calafate;Balso de correr;Volta do fiel;Catau de reboque;Lais de guia;Volta do fiel
Arrais Amador;Geral;Uma embarcação de esporte e recreio que deseja rebocar algo deverá ter a bordo:;uma pessoa habilitada somente;autorização especial para reboque de dispositivo de esporte e recreio;um profissional aquaviário para garantir a segurança do dispositivo de reboque;além de uma pessoa habilitada na condução da embarcação, outra para observar o dispositivo rebocado;o material de reboque certificado pela Diretoria de Portos e Costa;além de uma pessoa habilitada na condução da embarcação, outra para observar o dispositivo rebocado
Arrais Amador;Geral;A melhor maneira de saltar na água, utilizando o colete salva-vidas, é com:;as pernas esticadas e os pés juntos;a mão direita no nariz e os pés separados;os pés juntos e os pés separados;de cabeça protegendo o rosto;as pernas abertas, a mão direita no nariz e a mão esquerda no ombro;as pernas esticadas e os pés juntos
Arrais Amador;Geral;Assinale a alternativa que corresponde ao sinal de águas seguras que é aquele sinal cego ou luminoso, é empregado para indicar a existência de águas navegáveis em todo o seu entorno, o meio de um canal, um ponto de aterragem ou um ponto de espera:;O sinal de águas seguras é dotado de marca de tope, duas esferas pretas, uma sobre a outra;O sinal de águas seguras apresenta-se pintado com faixas verticais encarnadas e brancas e pode exibir uma esfera na cor encarnada como marca de tope;O sinal de águas seguras apresenta sua estrutura pintada de amarelo na metade superior e de preto na metade inferior e deve exibir, como marca de tope, 2 cones na cor preta um acima do outro, ambos com os vértices voltados para cima;O sinal de águas seguras apresenta sua estrutura pintada de preto com uma faixa larga horizontal amarela no meio e deve exibir, como marca de tope, 2 cones na cor preta um acima do outro, o superior com vértice voltado para cima e o inferior com o vértice voltado para baixo;O sinal de águas seguras apresenta sua estrutura pintada de amarelo com uma faixa larga horizontal preta no meio e deve exibir, como marca de tope, 2 cones na cor preta um acima do outro, o superior com vértice voltado para baixo e o inferior com o vértice voltado para cima;O sinal de águas seguras apresenta-se pintado com faixas verticais encarnadas e brancas e pode exibir uma esfera na cor encarnada como marca de tope
Arrais Amador;Geral;Uma embarcação de esporte e/ou recreio deve ser registrada no Tribunal Marítimo sempre que sua Arqueação Bruta (AB) exceder a:;100;90;120;140;80;100
Arrais Amador;Geral;Em que situação a embarcação que tem preferência poderá manobrar para evitar um abalroamento:;Quando a outra não atender a fonia;Quando o mar estiver calmo;Quando a outra a quem cabe manobrar não o está fazendo apropriadamente;Quando avistar a outra pelo seu través;Quando avistar a outra por bombordo;Quando a outra a quem cabe manobrar não o está fazendo apropriadamente
Arrais Amador;Geral;Para segurança da embarcação, devemos proceder a diversas verificações antes de sairmos para navegar, exceto:;verificar as luzes de navegação;verificar os equipamentos de salvatagem;verificar os equipamentos de combate a incêndio;verificar se a embarcação está com as acomodações limpas e arrumadas;verificar os equipamentos rádio;verificar se a embarcação está com as acomodações limpas e arrumadas
Arrais Amador;Geral;No balizamento de uma hidrovia um sinal ”X” significa:;seguir margem;trocar de margem;seguir no meio do canal;bifurcação de canal;proibido parar;trocar de margem
Arrais Amador;Geral;Todo aquele que é transportado pela embarcação, não fazendo parte da tripulação e sem estar prestando serviço profissional a bordo, é considerado:;tripulante;profissional não tripulante;passageiro;patrão;comandante;passageiro
Arrais Amador;Geral;Embarcações de propulsão mecânica que não estão obrigadas a exibir a luz de mastro de ré são aquelas menores de:;100 metros;70 metros;50 metros;80 metros;60 metros;50 metros
Arrais Amador;Geral;Deverá ser considerada uma embarcação alcançando outra, toda embarcação que se aproximar de outra, vindo de uma direção de:;mais de 22,5º para ré do través dessa última;menos de 112,5º para ré do través dessa última;mais de 112,5º para ré do través dessa última;menos de 22,5º para ré do través dessa última;mais de 22,5º e menos de 112,5º para ré do través dessa última;mais de 22,5º para ré do través dessa última
